geo_feature_id,district_name,state_name,normalized_district,normalized_state,state_code,latitude,longitude
227,Valsad,GJ,valsad,gj,,20.372015090461304,73.1066381923761
228,Tapi,GJ,tapi,gj,,21.213301537059298,73.71701912304545
229,Chhotaudepur,GJ,chhotaudepur,gj,,22.252289841441684,73.89175488513025
230,Mahisagar,GJ,mahisagar,gj,,23.16981968120169,73.66339349985822
231,Arvalli,GJ,arvalli,gj,,23.49026076938506,73.28706608568764
232,Morbi,GJ,morbi,gj,,22.85786218947608,70.92451330679867
233,Devbhumi Dwarka,GJ,devbhumi_dwarka,gj,,22.19112485805641,69.52845821215713
234,Gir Somnath,GJ,gir_somnath,gj,,20.979044802917695,70.75436176327572
235,Botad,GJ,botad,gj,,22.066222551844525,71.68244274354619
236,Bilaspur,HP,bilaspur,hp,,31.376309456193635,76.65050406697364
237,Chamba,HP,chamba,hp,,32.642100736610594,76.36267571886492
238,Hamirpur,HP,hamirpur,hp,,31.662448558460135,76.5310764734201
239,Kangra,HP,kangra,hp,,32.133475564366464,76.37582531271413
240,Kinnaur,HP,kinnaur,hp,,31.57262968178603,78.38041771641518
241,Kullu,HP,kullu,hp,,31.890655695633946,77.41223674376167
242,Lahul And Spiti,HP,lahul_and_spiti,hp,,32.50676757557529,77.54452121840752
243,Mandi,HP,mandi,hp,,31.654886799014186,76.98058034889657
244,Shimla,HP,shimla,hp,,31.187109346153516,77.62815471562377
245,Sirmaur,HP,sirmaur,hp,,30.673131991068157,77.43516375229242
246,Solan,HP,solan,hp,,31.050056965908553,76.93333169007856
247,Una,HP,una,hp,,31.591626278743263,76.20276440803224
248,Ambala,HR,ambala,hr,,30.31991512307618,76.89550809698632
249,Bhiwani,HR,bhiwani,hr,,28.747104843195054,75.89489709205733
250,Faridabad,HR,faridabad,hr,,28.349843411253026,77.35213130356436
251,Fatehabad,HR,fatehabad,hr,,29.578010851300828,75.58464422094487
252,Gurugram,HR,gurugram,hr,,28.35088722794709,76.93806066770921
253,Hisar,HR,hisar,hr,,29.22228708401485,75.8202910549489
254,Jhajjar,HR,jhajjar,hr,,28.58846831832361,76.62332627070617
255,Jind,HR,jind,hr,,29.464165925770928,76.31244732837386
256,Kaithal,HR,kaithal,hr,,29.854901611789884,76.4071975957269
257,Karnal,HR,karnal,hr,,29.6944831110978,76.88413463497913
258,Kurukshetra,HR,kurukshetra,hr,,30.037609364179254,76.78334440458698
259,Mahendragarh,HR,mahendragarh,hr,,28.14799661249787,76.12249377339288
260,Panchkula,HR,panchkula,hr,,30.70144346838254,76.96521719288204
261,Panipat,HR,panipat,hr,,29.34812488707535,76.93620367370087
262,Rewari,HR,rewari,hr,,28.238827773082107,76.53807844378477
263,Rohtak,HR,rohtak,hr,,28.899278369889593,76.53771398010879
264,Sirsa,HR,sirsa,hr,,29.631114500496555,74.92025971088249
265,Sonipat,HR,sonipat,hr,,29.04832334855485,76.8771305614255
266,Yamunanagar,HR,yamunanagar,hr,,30.255588931650603,77.28794071036693
267,Nuh,HR,nuh,hr,,27.96469881699373,77.05893899060642
268,Palwal,HR,palwal,hr,,28.0763465882596,77.37389688237546
